ticker,date,adj_close,ret
CTRA,2025-10-06,23.4683,0.023176
CTRA,2025-10-07,24.1475,0.028943
CTRA,2025-10-08,23.8522,-0.012230
CTRA,2025-10-09,23.2517,-0.025175
CTRA,2025-10-10,22.3953,-0.036833
CTRA,2025-10-13,22.8087,0.018462
CTRA,2025-10-14,22.8481,0.001726
CTRA,2025-10-15,22.8382,-0.000431
CTRA,2025-10-16,22.2279,-0.026724
CTRA,2025-10-17,22.4445,0.009743
CTRA,2025-10-20,23.0548,0.027193
CTRA,2025-10-21,22.9564,-0.004270
CTRA,2025-10-22,22.9367,-0.000858
CTRA,2025-10-23,23.3698,0.018884
CTRA,2025-10-24,23.1828,-0.008003
CTRA,2025-10-27,23.3009,0.005096
CTRA,2025-10-28,23.0154,-0.012252
CTRA,2025-10-29,22.9761,-0.001711
CTRA,2025-10-30,23.0351,0.002571
CTRA,2025-10-31,23.2911,0.011111
CTRA,2025-11-03,24.0097,0.030854
CTRA,2025-11-04,25.4469,0.059861
CTRA,2025-11-05,25.3485,-0.003869
CTRA,2025-11-06,25.9588,0.024078
CTRA,2025-11-07,26.1557,0.007584
CTRA,2025-11-10,25.9785,-0.006775
CTRA,2025-11-11,26.3723,0.015157
CTRA,2025-11-12,25.7226,-0.024636
CTRA,2025-11-13,25.6531,-0.002702
CTRA,2025-11-14,26.1494,0.019350
CTRA,2025-11-17,25.7821,-0.014047
CTRA,2025-11-18,25.9807,0.007701
CTRA,2025-11-19,25.5736,-0.015667
CTRA,2025-11-20,25.2162,-0.013975
CTRA,2025-11-21,25.5637,0.013780
CTRA,2025-11-24,26.0105,0.017476
CTRA,2025-11-25,25.6531,-0.013741
CTRA,2025-11-26,26.1991,0.021285
CTRA,2025-11-28,26.6458,0.017052
CTRA,2025-12-01,26.7550,0.004098
CTRA,2025-12-02,26.1991,-0.020779
CTRA,2025-12-03,26.9635,0.029178
CTRA,2025-12-04,27.1422,0.006627
CTRA,2025-12-05,27.1918,0.001829
CTRA,2025-12-08,26.3778,-0.029938
CTRA,2025-12-09,26.6657,0.010915
CTRA,2025-12-10,26.8245,0.005957
CTRA,2025-12-11,26.2984,-0.019615
CTRA,2025-12-12,26.0800,-0.008305
CTRA,2025-12-15,26.0800,0.000000
CTRA,2025-12-16,25.1170,-0.036924
CTRA,2025-12-17,25.7325,0.024506
CTRA,2025-12-18,25.2460,-0.018904
CTRA,2025-12-19,25.1964,-0.001966
CTRA,2025-12-22,25.3354,0.005516
CTRA,2025-12-23,25.7920,0.018025
CTRA,2025-12-24,25.5041,-0.011162
CTRA,2025-12-26,25.6034,0.003893
CTRA,2025-12-29,26.0105,0.015898
CTRA,2025-12-30,26.3679,0.013740
CTRA,2025-12-31,26.1296,-0.009036
OXY,2024-12-16,45.3804,
OXY,2024-12-17,45.3415,-0.000858
OXY,2024-12-18,44.8156,-0.011598
OXY,2024-12-19,44.1729,-0.014342
OXY,2024-12-20,45.8965,0.039021
OXY,2024-12-23,46.5880,0.015065
OXY,2024-12-24,46.8606,0.005853
OXY,2024-12-26,46.9385,0.001663
OXY,2024-12-27,47.2891,0.007469
OXY,2024-12-30,47.1917,-0.002060
OXY,2024-12-31,48.1169,0.019604
OXY,2025-01-02,48.5064,0.008096
OXY,2025-01-03,49.1881,0.014053
OXY,2025-01-06,49.4413,0.005148
OXY,2025-01-07,50.2009,0.015363
OXY,2025-01-08,49.8503,-0.006984
OXY,2025-01-10,49.9574,0.002149
OXY,2025-01-13,51.3013,0.026901
OXY,2025-01-14,50.7170,-0.011390
OXY,2025-01-15,51.3208,0.011905
OXY,2025-01-16,50.9312,-0.007590
OXY,2025-01-17,50.6099,-0.006310
OXY,2025-01-21,49.2270,-0.027324
OXY,2025-01-22,48.8862,-0.006924
OXY,2025-01-23,49.0225,0.002789
OXY,2025-01-24,48.0000,-0.020858
OXY,2025-01-27,48.2629,0.005478
OXY,2025-01-28,47.7176,-0.011299
OXY,2025-01-29,47.5521,-0.003469
OXY,2025-01-30,47.6397,0.001843
OXY,2025-01-31,45.4291,-0.046402
OXY,2025-02-03,45.1564,-0.006002
OXY,2025-02-04,46.3445,0.026310
OXY,2025-02-05,46.1205,-0.004833
OXY,2025-02-06,45.7505,-0.008024
OXY,2025-02-07,45.5557,-0.004257
OXY,2025-02-10,47.1138,0.034203
OXY,2025-02-11,47.3378,0.004754
OXY,2025-02-12,46.5782,-0.016046
OXY,2025-02-13,46.6269,0.001045
OXY,2025-02-14,46.8022,0.003759
OXY,2025-02-18,47.5618,0.016230
OXY,2025-02-19,49.6555,0.044021
OXY,2025-02-20,50.7267,0.021573
OXY,2025-02-21,49.1004,-0.032060
OXY,2025-02-24,48.5551,-0.011107
OXY,2025-02-25,47.6105,-0.019455
OXY,2025-02-26,47.2794,-0.006954
OXY,2025-02-27,47.3768,0.002060
OXY,2025-02-28,47.5618,0.003905
OXY,2025-03-03,45.2343,-0.048935
OXY,2025-03-04,45.3122,0.001722
OXY,2025-03-05,44.3189,-0.021921
OXY,2025-03-06,44.5137,0.004394
OXY,2025-03-07,46.0037,0.033472
OXY,2025-03-10,46.3560,0.007659
OXY,2025-03-11,45.2989,-0.022804
OXY,2025-03-12,45.1227,-0.003889
OXY,2025-03-13,44.4865,-0.014100
OXY,2025-03-14,45.5436,0.023762
OXY,2025-03-17,46.2582,0.015689
OXY,2025-03-18,46.6399,0.008252
OXY,2025-03-19,46.9433,0.006506
OXY,2025-03-20,46.9433,0.000000
OXY,2025-03-21,46.9237,-0.000417
OXY,2025-03-24,46.9042,-0.000417
OXY,2025-03-25,47.9711,0.022746
OXY,2025-03-26,48.6954,0.015099
OXY,2025-03-27,48.4605,-0.004824
OXY,2025-03-28,47.7949,-0.013735
OXY,2025-03-31,48.3136,0.010854
OXY,2025-04-01,48.1472,-0.003444
OXY,2025-04-02,48.2843,0.002846
OXY,2025-04-03,42.9694,-0.110075
OXY,2025-04-04,39.6806,-0.076538
OXY,2025-04-07,37.9286,-0.044154
OXY,2025-04-08,35.3445,-0.068129
OXY,2025-04-09,39.3772,0.114096
OXY,2025-04-10,35.6969,-0.093463
OXY,2025-04-11,36.8714,0.032904
